country,poverty_reduction_2030_%,poverty_reduction_2050_%,poverty_reduction_2030_million,poverty_reduction_2050_million,GDPgains_2030_bi,GDPgains_2050_bi,averted_deaths_2030,averted_deaths_2050,GDPgains_cum2030_bi,GDPgains_cum2050_bi,InvRural_cum2030_bi,InvRural_cum2050_bi,InvUrban_cum2030_bi,InvUrban_cum2050_bi,InvRural_2030_bi,InvRural_2050_bi,InvUrban_2030_bi,InvUrban_2050_bi,InvTotal_cum_2030_bi,InvTotal_cum_2050_bi
Syrian Arab Republic,-3%,-24%,-0.0100,-0.0700,0.010,0.100,-4,4,0.02,0.65,0.62,0.34,0.00,0.00,0.081,-0.008,0.00,0.00,0.623,0.343
Taiwan,0%,0%,0.0000,0.0000,0.600,4.000,-10,-20,2,44.5,0.02,0.03,0.08,0.28,0.003,0.000,0.01,0.03,0.106,0.313
Tajikistan,0%,-1%,-0.0010,-0.0010,0.060,0.380,194,26,0.19,4.42,0.13,0.01,0.05,0.01,0.010,0.000,0.01,0.00,0.174,0.027
Tanzania,-16%,-157%,-0.1200,-1.9400,1.240,29.500,9041,4100,3.67,235.57,8.73,8.78,1.08,1.60,1.082,-0.166,0.15,0.01,9.812,10.381
Thailand,0%,0%,0.0000,0.0000,1.900,11.900,2210,1340,6,147.1,1.63,2.23,1.21,1.12,0.144,0.012,0.16,-0.02,2.841,3.346
Timor-Leste,-14%,-1%,-0.0030,0.0000,0.012,0.155,95,0,0.033,1.566,0.10,0.02,0.01,0.01,0.010,0.000,0.00,0.00,0.111,0.025
Togo,1%,1%,0.0010,0.0020,0.000,0.020,0,1,0.01,0.16,0.00,0.00,0.00,0.00,0.000,0.000,0.00,0.00,0,0
Tonga,0%,-3%,0.0000,0.0000,0.000,0.001,0,0,0,0.007,0.00,0.00,0.00,0.00,0.000,0.000,0.00,0.00,-0.0003,-0.0003
Trinidad and Tobago,0%,0%,0.0000,0.0000,0.010,0.020,0,0,0.05,0.44,0.00,0.00,0.00,0.00,0.000,0.000,0.00,0.00,0.0004,-0.0013
Tunisia,0%,0%,0.0000,-0.0010,0.140,1.100,-1,-2,0.45,13.15,0.20,0.12,0.26,0.18,0.025,-0.004,0.03,0.00,0.458,0.293
Turkey,0%,0%,0.0000,0.0000,0.000,2.000,0,0,0,15,0.01,0.04,0.01,0.09,0.002,0.001,0.00,0.01,0.02,0.124
Turkmenistan,0%,0%,0.0000,0.0000,0.060,0.700,2,1,0.16,6.91,0.01,0.00,0.00,0.00,0.001,0.000,0.00,0.00,0.008,-0.003
Uganda,-53%,-207%,-0.3200,-2.0120,1.760,53.600,5836,4370,4.99,406.28,10.25,10.45,1.25,2.05,1.210,-0.162,0.17,0.03,11.503,12.501
Ukraine,0%,0%,0.0000,0.0000,0.100,0.400,-3,18,0,5.1,0.13,0.16,0.23,0.30,0.013,0.000,0.03,0.00,0.364,0.463
United Arab Emirates,0%,0%,0.0000,0.0000,0.400,2.500,1,-4,1.2,28.2,0.00,0.01,0.01,0.04,0.000,0.001,0.00,0.01,0.009,0.048
United Kingdom,0%,0%,-0.0010,-0.0010,2.000,11.000,0,-10,7,147,0.17,0.49,0.11,0.11,0.020,0.010,0.01,0.03,0.277,0.601
United States of America,0%,0%,-0.0020,-0.0040,10.000,49.000,0,0,32,688,0.55,1.15,0.33,0.24,0.050,0.039,0.00,-0.03,0.88,1.391
Uruguay,0%,0%,0.0000,0.0000,0.020,0.100,0,0,0.06,0.73,0.00,0.00,0.00,0.00,0.000,0.000,0.00,0.00,0,0
Uzbekistan,0%,0%,0.0000,0.0010,0.000,0.100,2,1,0,0.9,0.00,0.00,0.00,0.00,0.000,0.000,0.00,0.00,-0.005,-0.005
Vanuatu,-2%,-15%,-0.0010,-0.0010,0.008,0.075,30,7,0.024,0.8,0.02,0.01,0.00,0.00,0.002,-0.001,0.00,0.00,0.0214,0.0052
"Venezuela, Bolivarian Republic",-6%,-160%,-0.0200,-0.6200,0.360,5.300,38,155,1.33,50.46,0.48,1.25,0.98,2.05,0.058,0.008,0.10,-0.02,1.457,3.308
Viet Nam,0%,0%,0.0010,0.0000,1.000,8.300,3810,1050,2.8,95.6,1.54,0.41,1.00,0.76,0.227,-0.010,0.14,-0.02,2.535,1.175
Yemen,-5%,-54%,-0.0100,-0.2800,0.080,1.050,904,492,0.26,10.32,1.19,1.25,0.08,-0.01,0.143,-0.051,0.00,0.00,1.267,1.238
Zambia,-6%,-174%,-0.0100,-0.6800,0.580,7.600,2716,1657,1.74,74.32,2.08,2.67,0.25,0.47,0.271,0.000,0.04,0.01,2.331,3.137
Zimbabwe,-17%,-123%,-0.0280,-0.3010,0.380,8.220,2575,1683,1.11,68.28,3.37,4.18,0.11,0.02,0.455,-0.040,0.01,0.00,3.479,4.207
