country,year,data_source,ElectricityAccess_sharet,ElectricityAccess_popt,ElectricityAccess_shareu,ElectricityAccess_popu,ElectricityAccess_sharer,ElectricityAccess_popr,total_pop,Cleancooking_sharet,Cleancooking_sharer,Cleancooking_shareu,poverty_headcount,multidimensional_poverty,investment_gap_total,investment_gap_rural,investment_gap_urban,hdi,life_exp,schooling,income,poverty_reduction_2030_%,poverty_reduction_2050_%,poverty_reduction_2030_million,poverty_reduction_2050_million,GDPgains_2030_bi,GDPgains_2050_bi,cum_averteddeaths_2030,cum_averteddeaths_2050,GDPgains_cum2030_bi,GDPgains_cum2050_bi,InvRural_cum2030_bi,InvRural_cum2050_bi,InvUrban_cum2030_bi,InvUrban_cum2050_bi,InvRural_2030_bi,InvRural_2050_bi,InvUrban_2030_bi,InvUrban_2050_bi,InvTotal_cum_2030_bi,InvTotal_cum_2050_bi,fid,adm0_id,adm0_src,adm0_name,iso_cd,iso_2,iso_3,iso_3_grp,region3_cd,region3_nm,region2_cd,region2_nm,region1_cd,region1_nm,status_cd,status_nm,wld_date,wld_update,wld_view,pop_hrea_2020,pop_no_hrea_2020,hrea_2020,pop
Somalia,2020,WorldBank,49.7,"7,989,383",70.1,"2,191,184",32.3,"5,798,199",,3.0,0.0,5.0,70.7,83.8,1.704,1.704,0.000,..,55.3,..,"1,018",3%,-96%,0.01,-0.332,0.036,2.14,21049,67373,0.093,14.033,1.31,2.35,0,0,0.173,0.058,0,0,1.304,2.347,224,SOM-20220530,SOM,Somalia,706,SO,SOM,SOM,14,Eastern Africa,202,Sub-Saharan Africa,2,Africa,1,State,2021/05/28,2022/05/30,intl,231690290,173256481,0.5721499876,16841806
South Africa,2020,WorldBank,84.4,"9,260,734",88.8,"4,471,535",75.3,"4,789,199",,87.0,66.0,95.0,20.5,21.7,1.582,1.111,0.471,0.713,62.3,11.4,"12,948",-1%,-11%,0,-0.08,1,7.7,6960,26000,3.1,90.2,0.78,0.84,0.36,0.5,0.098,-0.004,0.05,0,1.138,1.343,312,ZAF-20220530,ZAF,South Africa,710,ZA,ZAF,ZAF,18,Southern Africa,202,Sub-Saharan Africa,2,Africa,1,State,2021/05/28,2022/05/30,intl,29024990,2443735,0.9223440098,60756126
South Georgia and the South Sandwich Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,213,SGS-20220530,SGS,South Georgia and the South Sandwich Islands (UK),239,GS,SGS,GBR,5,South America,419,Latin America and the Caribbean,19,Americas,5,Territory/Self-governing territory,2021/05/28,2022/05/30,intl,,,,0
South Sudan,2020,WorldBank,7.2,"10,383,153",13.9,"1,947,447",5.6,"8,435,706",,0.0,0.0,0.0,67.3,84.9,,,,0.385,55,5.7,768,,,,,,,,,,,,,,,,,,,,,227,SSD-20220530,SSD,South Sudan,728,SS,SSD,SSD,14,Eastern Africa,202,Sub-Saharan Africa,2,Africa,1,State,2021/05/28,2022/05/30,intl,97413435,348587044,0.218415539,11618515
Spain,2020,WorldBank,100.0,0,100.0,0,100.0,0,,100.0,100.0,100.0,0.8,3.6,0.316,0.184,0.132,0.905,83,10.6,"38,354",0%,0%,0,-0.001,2,7,-70.0000000001,-390.0000000003,5,99,0.16,0.61,0.1,0.74,0.014,0.022,0,0.06,0.26,1.346,82,ESP_1-20220530,ESP_1,Spain,724,ES,ESP,ESP,39,Southern Europe,39,Southern Europe,150,Europe,1,State,2021/05/28,2022/05/30,intl,,,,44353798
Spratly Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,305,XSI-20220530,XSI,,934,QT,XSI,XSI,35,South-eastern Asia,35,South-eastern Asia,142,Asia,99,Sovereignty unsettled,2021/05/28,2022/05/30,intl,,,,0
Sri Lanka,2020,WorldBank,100.0,0,100.0,0,100.0,0,,32.0,23.0,70.0,1.3,1.7,1.768,1.575,0.193,0.782,76.4,10.8,"12,578",0%,0%,0,0,0.6,5.5,21198,86669.0000000003,2,63,1.16,1.41,0.15,0.15,0.163,0.019,0.02,0,1.305,1.557,145,LKA-20220530,LKA,Sri Lanka,144,LK,LKA,LKA,34,Southern Asia,34,Southern Asia,142,Asia,1,State,2021/05/28,2022/05/30,intl,8934421,1991529,0.817724866,21575841
St. Lucia,,"IFS, Pardee",,,,,,,,,,,,,0.002,0.002,0.000,,,,,0%,-1%,0,0,0.002,0.006,0,0,0.006,0.102,0,0,0,0,0,0,0,0,0.0014,6.96599895821937E-018,,,,,,,,,,,,,,,,,,,,,,,
St. Vincent and the Grenadines,,"IFS, Pardee",,,,,,,,,,,,,0.000,0.000,0.000,,,,,0%,-3%,0,0,0.001,0.003,0,0,0.003,0.05,0,0,0,0,0,0,0,0,0.0001,0,,,,,,,,,,,,,,,,,,,,,,,
State of Palestine,2020,WorldBank,100.0,0,100.0,0,100.0,0,,0.0,0.0,0.0,n/a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,201,PSE_1-20220530,PSE_1,West Bank,275,PS,PSE,PSE,145,Western Asia,145,Western Asia,142,Asia,2,Occupied Palestinian Territory,2021/05/28,2022/05/30,intl,,,,3326459
Sudan,2020,WorldBank,55.4,"19,561,290",81.5,"2,857,035",41.2,"16,704,255",,55.0,47.0,68.0,15.3,52.5,7.223,7.075,0.148,0.508,65.3,3.8,"3,575",-3%,-38%,-0.014,-0.327,0.59,7.8,32211,138456,1.86,73.27,5.87,9.83,0.14,0.06,0.734,0.088,0.01,0,6.008,9.897,210,SDN-20220530,SDN,Sudan,729,SD,SDN,SDN,15,Northern Africa,15,Northern Africa,2,Africa,1,State,2021/05/28,2022/05/30,intl,998863638,550365624,0.6447487551,45992020
Sudan South,,"IFS, Pardee",,,,,,,,,,,,,3.589,3.338,0.251,,,,,-5%,-63%,0.01,-0.06,0,1.52,11316,35929,-0.086,10.964,3.02,2.51,0.23,0.17,0.299,-0.063,0.02,0,3.252,2.681,,,,,,,,,,,,,,,,,,,,,,,
