country,year,data_source,ElectricityAccess_sharet,ElectricityAccess_popt,ElectricityAccess_shareu,ElectricityAccess_popu,ElectricityAccess_sharer,ElectricityAccess_popr,total_pop,Cleancooking_sharet,Cleancooking_sharer,Cleancooking_shareu,poverty_headcount,multidimensional_poverty,investment_gap_total,investment_gap_rural,investment_gap_urban,hdi,life_exp,schooling,income,poverty_reduction_2030_%,poverty_reduction_2050_%,poverty_reduction_2030_million,poverty_reduction_2050_million,GDPgains_2030_bi,GDPgains_2050_bi,cum_averteddeaths_2030,cum_averteddeaths_2050,GDPgains_cum2030_bi,GDPgains_cum2050_bi,InvRural_cum2030_bi,InvRural_cum2050_bi,InvUrban_cum2030_bi,InvUrban_cum2050_bi,InvRural_2030_bi,InvRural_2050_bi,InvUrban_2030_bi,InvUrban_2050_bi,InvTotal_cum_2030_bi,InvTotal_cum_2050_bi,fid,adm0_id,adm0_src,adm0_name,iso_cd,iso_2,iso_3,iso_3_grp,region3_cd,region3_nm,region2_cd,region2_nm,region1_cd,region1_nm,status_cd,status_nm,wld_date,wld_update,wld_view,pop_hrea_2020,pop_no_hrea_2020,hrea_2020,pop
Abyei,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,276,XAB-20220530,XAB,Abyei,901,XA,XAB,XAB,14,Eastern Africa,202,Sub-Saharan Africa,2,Africa,99,Sovereignty unsettled,2021/05/28,2022/05/30,intl,510044,20877,0.9606777656,76652
Afghanistan,2020,WorldBank,97.7,"895,352",99.5,"50,657",97.1,"844,694",,33.0,16.0,83.0,n/a,49.4,0.062,0.062,0.000,0.478,62,3,"1,824",0%,-11%,0,-0.08,0.02,0.4,1970,2706.0000000001,0.06,2.46,0,-0.05,-0.01,0,-0.006,-0.001,0,0,-0.008,-0.059,2,AFG-20220530,AFG,Afghanistan,4,AF,AFG,AFG,34,Southern Asia,34,Southern Asia,142,Asia,1,State,2021/05/28,2022/05/30,intl,,,,40754375
Akrotiri and Dekelia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,309,XUK_1-20220530,XUK_1,Akrotiri (UK),939,QY,XUK,GBR,145,Western Asia,145,Western Asia,142,Asia,5,Territory/Self-governing territory,2021/05/28,2022/05/30,intl,,,,13349
Aksai Chin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,277,XAC-20220530,XAC,,902,XB,XAC,XAC,34,Southern Asia,34,Southern Asia,142,Asia,99,Sovereignty unsettled,2021/05/28,2022/05/30,intl,,,,2855
Albania,2020,WorldBank,100.0,0,100.0,0,100.0,0,,81.0,65.0,93.0,0,0.3,0.000,0.000,0.000,0.796,76.5,11.3,"14,131",0%,0%,0,0,0.01,0.02,0,-1,0.03,0.33,0,0,0,0,0,0,0,0,0,0,6,ALB-20220530,ALB,Albania,8,AL,ALB,ALB,39,Southern Europe,39,Southern Europe,150,Europe,1,State,2021/05/28,2022/05/30,intl,,,,2866380
Algeria,2020,WorldBank,99.8,"85,891",99.9,"37,503",99.6,"48,388",,100.0,99.0,100.0,0.5,n/a,0.514,0.142,0.372,0.745,76.4,8.1,"10,800",0%,0%,0,-0.001,0.3,2.5,-1,120,0.9,28,0.09,0.05,0.29,0.27,0.02,-0.005,0.04,-0.01,0.378,0.328,77,DZA-20220530,DZA,Algeria,12,DZ,DZA,DZA,15,Northern Africa,15,Northern Africa,2,Africa,1,State,2021/05/28,2022/05/30,intl,21029177,2009644,0.9127714044,45350131
American Samoa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,ASM-20220530,ASM,American Samoa (USA),16,AS,ASM,USA,61,Polynesia,61,Polynesia,9,Oceania,3,Non-self-governing territory,2021/05/28,2022/05/30,intl,,,,55032
Andorra,2020,WorldBank,100.0,0,100.0,0,100.0,0,,100.0,100.0,100.0,n/a,n/a,,,,0.858,80.4,10.6,"51,167",,,,,,,,,,,,,,,,,,,,,7,AND-20220530,AND,Andorra,20,AD,AND,AND,39,Southern Europe,39,Southern Europe,150,Europe,1,State,2021/05/28,2022/05/30,intl,,,,77460
Angola,2020,WorldBank,46.9,"17,455,075",73.7,"5,774,280",0.0,0,,50.0,8.0,78.0,31.1,47.2,3.099,2.684,0.415,0.586,61.6,5.4,"5,466",-5%,-114%,-0.01,-0.95,1.7,23.2,35192,99923,5,218,2.02,2.6,0.32,0.18,0.263,-0.008,0.04,-0.02,2.339,2.783,3,AGO-20220530,AGO,Angola,24,AO,AGO,AGO,17,Middle Africa,202,Sub-Saharan Africa,2,Africa,1,State,2021/05/28,2022/05/30,intl,9245335,5217954,0.6392277026,35027348
Anguilla,2020,WorldBank,100.0,0,0.0,0,0.0,0,,0.0,0.0,0.0,n/a,n/a,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,AIA-20220530,AIA,Anguilla (UK),660,AI,AIA,GBR,29,Caribbean,419,Latin America and the Caribbean,19,Americas,3,Non-self-governing territory,2021/05/28,2022/05/30,intl,,,,15225
Antarctica,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,ATA-20220530,ATA,Antarctica,10,AQ,ATA,ATA,0,Antarctica,0,Antarctica,0,Antarctica,0,Antarctica,2021/05/28,2022/05/30,intl,,,,0
Antigua and Barbuda,2020,WorldBank,100.0,0,100.0,0,100.0,0,,100.0,100.0,100.0,n/a,n/a,,,,0.788,78.5,9.3,"16,792",,,,,,,,,,,,,,,,,,,,,21,ATG-20220530,ATG,Antigua and Barbuda,28,AG,ATG,ATG,29,Caribbean,419,Latin America and the Caribbean,19,Americas,1,State,2021/05/28,2022/05/30,intl,,,,99505
Argentina,2020,WorldBank,100.0,0,100.0,0,100.0,0,,100.0,97.0,100.0,1.1,1.1,0.170,0.026,0.144,0.842,75.4,11.1,"20,925",-1%,-2%,-0.005,-0.01,1.1,5.6,20,110.0000000004,3.6,72.3,0.01,0.01,0.08,0.08,0.002,0,0.01,0,0.094,0.088,9,ARG-20220530,ARG,Argentina,32,AR,ARG,ARG,5,South America,419,Latin America and the Caribbean,19,Americas,1,State,2021/05/28,2022/05/30,intl,22098443,2945309,0.8823934609,46010238
Armenia,2020,WorldBank,100.0,0,100.0,761,100.0,0,,98.0,96.0,100.0,0.4,0.4,0.000,0.000,0.000,0.759,72,11.3,"13,158",0%,0%,0,0,0,0.01,0,1,0,0.2,0,0,0,0,0,0,0,0,0,0,10,ARM-20220530,ARM,Armenia,51,AM,ARM,ARM,145,Western Asia,145,Western Asia,142,Asia,1,State,2021/05/28,2022/05/30,intl,,,,2971968
Aruba,2020,WorldBank,100.0,0,100.0,0,100.0,0,,0.0,0.0,0.0,n/a,n/a,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,ABW-20220530,ABW,Aruba (Neth.),533,AW,ABW,NLD,29,Caribbean,419,Latin America and the Caribbean,19,Americas,5,Territory/Self-governing territory,2021/05/28,2022/05/30,intl,,,,107612
Arunachal Pradesh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,278,XAP-20220530,XAP,,904,XD,XAP,XAP,34,Southern Asia,34,Southern Asia,142,Asia,99,Sovereignty unsettled,2021/05/28,2022/05/30,intl,,,,1165442
Australia,2020,WorldBank,100.0,0,100.0,0,100.0,0,,100.0,100.0,100.0,0.5,2.2,0.024,0.013,0.011,0.951,84.5,12.7,"49,238",0%,0%,0,0,1,2,-1,-29,3,35,0.01,0.02,0.01,0.01,0.001,0,0,0,0.018,0.022,22,AUS_1-20220530,AUS_1,Australia,36,AU,AUS,AUS,53,Australia and New Zealand,53,Australia and New Zealand,9,Oceania,1,State,2021/05/28,2022/05/30,intl,,,,26068794
Austria,2020,WorldBank,100.0,0,100.0,0,100.0,0,,100.0,100.0,100.0,0.6,0.7,0.029,0.024,0.005,0.916,81.6,12.3,"53,619",0%,0%,0,0,0.1,0.9,-1,-14,0.4,10.3,0.02,0.13,0.01,0.01,0.003,0.006,0,0,0.025,0.138,25,AUT-20220530,AUT,Austria,40,AT,AUT,AUT,155,Western Europe,155,Western Europe,150,Europe,1,State,2021/05/28,2022/05/30,intl,,,,9066687
Azerbaijan,2020,WorldBank,100.0,0,100.0,0,100.0,0,,97.0,94.0,99.0,0,n/a,0.009,0.004,0.005,0.745,69.4,10.5,"14,257",0%,0%,0,0,0.1,0.2,6,25,0.28,4.08,0,0.03,0,0,0.001,0.002,0,0,0.006,0.03,26,AZE-20220530,AZE,Azerbaijan,31,AZ,AZE,AZE,145,Western Asia,145,Western Asia,142,Asia,1,State,2021/05/28,2022/05/30,intl,,,,10300198
Bahamas,2020,WorldBank,100.0,0,100.0,0,100.0,0,,100.0,100.0,100.0,n/a,n/a,0.000,0.000,0.000,0.812,71.6,12.6,"30,486",0%,0%,0,0,0.01,0,0,0,0.02,0.1,0,0,0,0,0,0,0,0,-0.0002,-0.0002,37,BHS-20220530,BHS,Bahamas,44,BS,BHS,BHS,29,Caribbean,419,Latin America and the Caribbean,19,Americas,1,State,2021/05/28,2022/05/30,intl,,,,400515
Bahrain,2020,WorldBank,100.0,0,100.0,0,100.0,0,,100.0,100.0,100.0,n/a,n/a,0.002,0.001,0.002,0.875,78.8,11,"39,497",0%,0%,0,0,0.06,0.42,2,1,0.21,4.82,0,0,0,0.01,0,0,0,0,0.0008,0.006,36,BHR-20220530,BHR,Bahrain,48,BH,BHR,BHR,145,Western Asia,145,Western Asia,142,Asia,1,State,2021/05/28,2022/05/30,intl,,,,1783984
Bangladesh,2020,WorldBank,96.2,"6,258,197",97.8,"1,383,216",95.2,"4,874,980",,25.0,8.0,58.0,13.5,20.5,9.259,6.695,2.564,0.661,72.4,7.4,"5,472",0%,-1%,0.004,-0.023,1.8,19,82850.0000000001,200980,5.5,208,4.98,0.31,2.1,1.87,0.626,0.052,0.3,-0.02,7.085,2.185,34,BGD-20220530,BGD,Bangladesh,50,BD,BGD,BGD,34,Southern Asia,34,Southern Asia,142,Asia,1,State,2021/05/28,2022/05/30,intl,65146759,27671775,0.7018723114,167885664
Barbados,2020,WorldBank,100.0,0,100.0,0,100.0,0,,100.0,100.0,100.0,n/a,n/a,0.000,0.000,0.000,0.79,77.6,9.9,"12,306",0%,0%,0,0,0.003,0.006,0,0,0.008,0.137,0,0,0,0,0,0,0,0,0,0,45,BRB-20220530,BRB,Barbados,52,BB,BRB,BRB,29,Caribbean,419,Latin America and the Caribbean,19,Americas,1,State,2021/05/28,2022/05/30,intl,,,,288022
Belarus,2020,WorldBank,100.0,0,100.0,0,100.0,0,,100.0,99.0,100.0,0,3.2,0.013,0.007,0.006,0.808,72.4,12.1,"18,849",0%,0%,0,0,0.01,0.01,-2,-1,0.04,0.6,0.01,0.01,0.01,0.01,0,0,0,0,0.012,0.018,40,BLR-20220530,BLR,Belarus,112,BY,BLR,BLR,151,Eastern Europe,151,Eastern Europe,150,Europe,1,State,2021/05/28,2022/05/30,intl,,,,9432802
Belgium,2020,WorldBank,100.0,0,100.0,0,100.0,0,,100.0,100.0,100.0,0.1,0.8,0.008,0.001,0.007,0.937,81.9,12.4,"52,293",0%,0%,0,0,0,1,-5,-5,0.4,9.5,0,0,0.01,0.07,0,0,0,0.01,0.005,0.07,28,BEL-20220530,BEL,Belgium,56,BE,BEL,BEL,155,Western Europe,155,Western Europe,150,Europe,1,State,2021/05/28,2022/05/30,intl,,,,11668272
Belize,2020,WorldBank,97.1,"11,478",98.3,"3,053",96.1,"8,425",,82.0,73.0,95.0,18,n/a,0.000,0.000,0.000,0.683,70.5,8.8,"6,309",0%,2%,0,0,0.001,0.002,1,1,0.003,0.06,0,0,0,0,0,0,0,0,0.0029,-0.0017,41,BLZ-20220530,BLZ,Belize,84,BZ,BLZ,BLZ,13,Central America,419,Latin America and the Caribbean,19,Americas,1,State,2021/05/28,2022/05/30,intl,174550,32028,0.844959289,412201
Benin,2020,WorldBank,41.4,"7,102,866",66.1,"1,987,078",18.2,"5,115,787",,4.0,1.0,7.0,19.9,53.3,1.820,1.580,0.240,0.525,59.8,4.3,"3,409",6%,-60%,0.012,-0.143,0.2,5.7,10195,28595,0.54,45.08,1.22,1.07,0.2,0.22,0.162,-0.029,0.03,0,1.416,1.289,29,BEN-20220530,BEN,Benin,204,BJ,BEN,BEN,11,Western Africa,202,Sub-Saharan Africa,2,Africa,1,State,2021/05/28,2022/05/30,intl,3207779,3063087,0.5115368436,12784728
Bermuda,2020,WorldBank,100.0,0,100.0,0,100.0,0,,0.0,0.0,0.0,n/a,n/a,,,,,,,,,,,,,,,,,,,,,,,,,,,,42,BMU-20220530,BMU,Bermuda (UK),60,BM,BMU,GBR,21,Northern America,21,Northern America,19,Americas,3,Non-self-governing territory,2021/05/28,2022/05/30,intl,,,,61941
Bhutan,2020,WorldBank,100.0,0,100.0,0,100.0,0,,80.0,68.0,97.0,0.9,3.3,0.076,0.053,0.023,0.666,71.8,5.2,"9,438",2%,-3%,0,0,0.014,0.073,539,1294,0.046,1.035,0.05,0.03,0.02,0.02,0.004,-0.001,0,0,0.074,0.041,47,BTN-20220530,BTN,Bhutan,64,BT,BTN,BTN,34,Southern Asia,34,Southern Asia,142,Asia,1,State,2021/05/28,2022/05/30,intl,237282,208020,0.5328563537,787944
Bi'r Tawīl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,302,XMS-20220530,XMS,,931,QQ,XMS,EGY,15,Northern Africa,15,Northern Africa,2,Africa,99,Sovereignty unsettled,2021/05/28,2022/05/30,intl,,,0,5229
Bolivia,2020,EH,,,,,,,,,,,,6.6,0.000,0.000,0.000,,,,,0%,0%,0,0.001,0.01,0,1,1.4210854715202E-011,0.02,0.14,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
Bolivia (Plurinational State of),2020,WorldBank,97.6,"285,508",100.0,0,91.8,"285,508",,86.0,59.0,99.0,3.1,,,,,0.692,63.6,9.8,"8,111",,,,,,,,,,,,,,,,,,,,,43,BOL-20220530,BOL,Bolivia (Plurinational State of),68,BO,BOL,BOL,5,South America,419,Latin America and the Caribbean,19,Americas,1,State,2021/05/28,2022/05/30,intl,4852875,1343391,0.7831934588,11992653
"Bonaire, Sint Eustatius and Saba",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,BES_1-20220530,BES_1,Bonaire (Neth.),535,BQ,BES,NLD,29,Caribbean,419,Latin America and the Caribbean,19,Americas,5,Territory/Self-governing territory,2021/05/28,2022/05/30,intl,,,,19859
Bosnia and Herzegovina,2020,WorldBank,100.0,0,100.0,0,100.0,0,,45.0,17.0,67.0,0.1,n/a,0.000,0.000,0.000,0.78,75.3,10.5,"15,242",0%,0%,0,0,0,0.02,0,2,0.01,0.25,0,0,0,0,0,0,0,0,0,0,38,BIH-20220530,BIH,Bosnia and Herzegovina,70,BA,BIH,BIH,39,Southern Europe,39,Southern Europe,150,Europe,1,State,2021/05/28,2022/05/30,intl,,,,3249305
Botswana,2020,WorldBank,72.0,"658,578",90.7,"154,401",26.4,"504,177",,65.0,25.0,86.0,15.4,20.8,0.153,0.108,0.045,0.693,61.1,10.3,"16,198",-2%,-8%,0,-0.003,0.15,1.21,457,798,0.47,13.6,0.07,0.01,0.03,0.01,0.008,-0.001,0.01,0,0.101,0.018,49,BWA-20220530,BWA,Botswana,72,BW,BWA,BWA,18,Southern Africa,202,Sub-Saharan Africa,2,Africa,1,State,2021/05/28,2022/05/30,intl,871181,435459,0.6667337599,2441152
Bouvet Island,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48,BVT-20220530,BVT,Bouvet Island (Nor.),74,BV,BVT,NOR,5,South America,419,Latin America and the Caribbean,19,Americas,5,Territory/Self-governing territory,2021/05/28,2022/05/30,intl,,,,0
Brazil,2020,WorldBank,100.0,0,100.0,0,100.0,0,,96.0,79.0,99.0,1.9,6.1,1.242,0.521,0.721,0.754,72.8,8.1,"14,370",-1%,-1%,-0.02,-0.028,6,35,-350,260.0000000002,20,461,0.44,0.56,0.4,0.59,0.065,-0.002,0.04,0,0.833,1.142,44,BRA-20220530,BRA,Brazil,76,BR,BRA,BRA,5,South America,419,Latin America and the Caribbean,19,Americas,1,State,2021/05/28,2022/05/30,intl,,,,215353589
British Indian Ocean Territory,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,120,IOT-20220530,IOT,British Indian Ocean Territory,86,IO,IOT,GBR,14,Eastern Africa,202,Sub-Saharan Africa,2,Africa,5,Territory/Self-governing territory,2021/05/28,2022/05/30,intl,,,,0
British Virgin Islands,2020,WorldBank,100.0,0,100.0,0,100.0,0,,0.0,0.0,0.0,n/a,n/a,,,,,,,,,,,,,,,,,,,,,,,,,,,,270,VGB-20220530,VGB,British Virgin Islands (UK),92,VG,VGB,GBR,29,Caribbean,419,Latin America and the Caribbean,19,Americas,3,Non-self-governing territory,2021/05/28,2022/05/30,intl,,,,30606
Brunei Darussalam,2020,WorldBank,100.0,0,100.0,0,100.0,0,,100.0,100.0,100.0,n/a,n/a,0.001,0.000,0.000,0.829,74.6,9.2,"64,490",0%,0%,0,0,0.02,0.07,0,1,0.05,0.96,0,0,0,0,0,0,0,0,0.0003,0.0003,46,BRN-20220530,BRN,Brunei Darussalam,96,BN,BRN,BRN,35,South-eastern Asia,35,South-eastern Asia,142,Asia,1,State,2021/05/28,2022/05/30,intl,4731,26,,445429
Bulgaria,2020,WorldBank,99.7,"20,782",99.8,"10,486",100.0,0,,0.0,0.0,0.0,0.9,1.4,0.027,0.014,0.013,0.795,71.8,11.4,"23,079",0%,0%,0,0,0.1,0.23,3,-5,0.34,4.6,0.01,0.02,0.01,0.03,0.001,0.001,0,0,0.021,0.055,35,BGR-20220530,BGR,Bulgaria,100,BG,BGR,BGR,151,Eastern Europe,151,Eastern Europe,150,Europe,1,State,2021/05/28,2022/05/30,intl,,,,6844597
Burkina Faso,2020,WorldBank,19.0,"16,940,594",65.8,"2,191,019",0.0,0,,11.0,1.0,35.0,30.5,60.4,3.436,3.436,0.000,0.449,59.3,2.1,"2,118",-10%,-92%,-0.023,-0.392,0.53,11,19159,57902.9999999999,1.56,90.76,3.02,3.3,0,0.01,0.36,-0.046,0,0,3.016,3.311,33,BFA-20220530,BFA,Burkina Faso,854,BF,BFA,BFA,11,Western Africa,202,Sub-Saharan Africa,2,Africa,1,State,2021/05/28,2022/05/30,intl,3503294,6934669,0.3356300458,22102838
Burundi,2020,WorldBank,11.7,"10,495,332",63.7,"592,037",3.5,"9,903,295",,0.0,0.0,0.0,65.1,85.2,3.537,3.452,0.085,0.426,61.7,3.1,732,-63%,-623%,-0.1,-1.65,0.081,1.69,7716,60179,0.239,13.186,3.09,8.28,0.08,0.2,0.374,0.204,0.01,0,3.168,8.472,27,BDI-20220530,BDI,Burundi,108,BI,BDI,BDI,14,Eastern Africa,202,Sub-Saharan Africa,2,Africa,1,State,2021/05/28,2022/05/30,intl,980268,5247312,0.1574075323,12624848
Cabo Verde,2020,WorldBank,94.2,"32,460",94.5,"20,434",93.5,"12,026",,81.0,50.0,94.0,4.6,7.6,0.016,0.009,0.007,0.662,74.1,6.3,"6,230",0%,-2%,0,0,0.006,0.04,36,98,0.019,0.488,0.01,0,0.01,0,0.001,0,0,0,0.0114,0.0037,64,CPV-20220530,CPV,Cabo Verde,132,CV,CPV,CPV,11,Western Africa,202,Sub-Saharan Africa,2,Africa,1,State,2021/05/28,2022/05/30,intl,258728,40806,0.8637683869,567676
Cambodia,2020,WorldBank,86.4,"2,273,780",97.3,"109,386",82.9,"2,164,394",,37.0,25.0,70.0,n/a,n/a,2.711,2.322,0.389,0.593,69.6,5.1,"4,079",5%,-24%,0.012,-0.05,0.37,6.8,11795,40187,1.07,61.34,1.74,1.09,0.31,0.34,0.214,-0.037,0.05,0,2.049,1.426,134,KHM-20220530,KHM,Cambodia,116,KH,KHM,KHM,35,South-eastern Asia,35,South-eastern Asia,142,Asia,1,State,2021/05/28,2022/05/30,intl,4192952,4813882,0.4655300631,17168642
Cameroon,2020,WorldBank,64.7,"9,365,018",94.0,"912,722",25.0,"8,452,296",,22.0,2.0,38.0,25.7,37.5,3.622,2.935,0.687,0.576,60.3,6.2,"3,621",-9%,-146%,-0.027,-0.782,0.89,15.1,26323,103613,2.54,132.88,2.42,3.24,0.62,1.13,0.3,0.01,0.08,0.02,3.033,4.373,57,CMR-20220530,CMR,Cameroon,120,CM,CMR,CMR,17,Middle Africa,202,Sub-Saharan Africa,2,Africa,1,State,2021/05/28,2022/05/30,intl,6852543,6613385,0.5088801158,27911541
Canada,2020,WorldBank,100.0,0,100.0,0,100.0,0,,100.0,100.0,100.0,0.2,n/a,0.032,0.015,0.017,0.936,82.7,13.8,"46,808",0%,0%,0,-0.001,1,4,-1,-71,2,45,0.01,0.03,0.02,0.03,0.001,0.005,0,0,0.029,0.06,51,CAN-20220530,CAN,Canada,124,CA,CAN,CAN,21,Northern America,21,Northern America,19,Americas,1,State,2021/05/28,2022/05/30,intl,,,,38388406
Cayman Islands,2020,WorldBank,100.0,0,100.0,0,100.0,0,,0.0,0.0,0.0,n/a,n/a,,,,,,,,,,,,,,,,,,,,,,,,,,,,69,CYM-20220530,CYM,Cayman Islands (UK),136,KY,CYM,GBR,29,Caribbean,419,Latin America and the Caribbean,19,Americas,3,Non-self-governing territory,2021/05/28,2022/05/30,intl,,,,67280
Central African Republic,2020,WorldBank,15.5,"4,082,837",33.6,"1,354,030",2.3,"2,728,807",,1.0,0.0,2.0,61.9,n/a,1.627,1.421,0.206,0.404,53.9,4.3,966,3%,-181%,0.002,-0.161,-0.001,0.387,6264,28876,-0.009,2.632,1.25,1.83,0.19,0.24,0.133,0.019,0.02,0,1.443,2.065,50,CAF-20220530,CAF,Central African Republic,140,CF,CAF,CAF,17,Middle Africa,202,Sub-Saharan Africa,2,Africa,1,State,2021/05/28,2022/05/30,intl,683493,2142313,0.2418754154,5016678
Chad,2020,WorldBank,11.1,"14,605,855",40.6,"2,293,892",2.0,"12,311,962",,7.0,0.0,29.0,30.9,79.3,5.253,4.874,0.379,0.394,52.5,2.6,"1,364",-8%,-318%,-0.012,-1.282,0.38,11.05,34761,167925,1.01,82.74,4.28,8.33,0.35,0.6,0.544,0.15,0.04,0.01,4.628,8.926,238,TCD-20220530,TCD,Chad,148,TD,TCD,TCD,17,Middle Africa,202,Sub-Saharan Africa,2,Africa,1,State,2021/05/28,2022/05/30,intl,1267251,6939729,0.1544113669,17413573
Chile,2020,WorldBank,100.0,0,100.0,0,100.0,0,,100.0,100.0,100.0,0.7,1,0.040,0.017,0.023,0.855,78.9,10.9,"24,563",0%,0%,0,0,0.4,1.7,-26,-81,1.3,24.6,0.02,0.02,0.01,0,0.001,0,0,0,0.026,0.019,54,CHL-20220530,CHL,Chile,152,CL,CHL,CHL,5,South America,419,Latin America and the Caribbean,19,Americas,1,State,2021/05/28,2022/05/30,intl,,,,19250190
China,2020,WorldBank,100.0,0,100.0,0,100.0,0,,79.0,65.0,89.0,0.1,n/a,0.000,0.000,0.000,0.768,78.2,7.6,"17,504",0%,0%,0,0,0,16,0,1000,0,106,0,0.58,0,0.19,0,0.082,0,0.01,0,0.776,55,CHN-20220530,CHN,China,156,CN,CHN,CHN,30,Eastern Asia,30,Eastern Asia,142,Asia,1,State,2021/05/28,2022/05/30,intl,,,,1448471402
Christmas Island,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68,CXR-20220530,CXR,Christmas Island (Aust.),162,CX,CXR,AUS,53,Australia and New Zealand,53,Australia and New Zealand,9,Oceania,5,Territory/Self-governing territory,2021/05/28,2022/05/30,intl,,,,1995
Chumar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,280,XCH-20220530,XCH,,906,XF,XCH,XCH,34,Southern Asia,34,Southern Asia,142,Asia,99,Sovereignty unsettled,2021/05/28,2022/05/30,intl,,,,12
Chumar East,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,279,XCE-20220530,XCE,,905,XE,XCE,XCE,34,Southern Asia,34,Southern Asia,142,Asia,99,Sovereignty unsettled,2021/05/28,2022/05/30,intl,,,,17
Clipperton Island,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63,CPT-20220530,CPT,Clipperton Island (Fr.),900,CP,CPT,FRA,61,Polynesia,61,Polynesia,9,Oceania,5,Territory/Self-governing territory,2021/05/28,2022/05/30,intl,,,,0
Cocos (Keeling) Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52,CCK-20220530,CCK,Cocos (Keeling) Islands (Aust.),166,CC,CCK,AUS,53,Australia and New Zealand,53,Australia and New Zealand,9,Oceania,5,Territory/Self-governing territory,2021/05/28,2022/05/30,intl,,,,461
Colombia,2020,WorldBank,100.0,0,100.0,0,100.0,0,,93.0,66.0,99.0,10.8,5.9,0.237,0.124,0.113,0.752,72.8,8.9,"14,384",0%,-1%,-0.001,-0.005,0.7,4.3,782,2824.9999999999,2.3,54.7,0.11,0.18,0.07,0.08,0.014,0,0,0,0.18,0.261,61,COL-20220530,COL,Colombia,170,CO,COL,COL,5,South America,419,Latin America and the Caribbean,19,Americas,1,State,2021/05/28,2022/05/30,intl,23371671,4502885,0.8384589516,51512743
Comoros,2020,WorldBank,86.7,"115,333",99.7,719,81.3,"114,615",,8.0,3.0,17.0,18.6,26.3,0.208,0.182,0.026,0.558,63.4,5.1,"3,142",-9%,-106%,0,-0.017,0.019,0.33,536,2368,0.056,2.873,0.16,0.19,0.02,0.03,0.019,-0.003,0,0,0.18,0.218,62,COM-20220530,COM,Comoros,174,KM,COM,COM,14,Eastern Africa,202,Sub-Saharan Africa,2,Africa,1,State,2021/05/28,2022/05/30,intl,203587,253185,0.4457081432,907411
Congo,2020,WorldBank,49.5,"2,785,693",66.0,"1,272,385",14.8,"1,513,308",,35.0,4.0,49.0,35.4,41.6,0.458,0.430,0.028,0.571,63.5,6.2,"2,889",9%,-16%,0.006,-0.017,0.13,1.98,2980,6238,0.35,18.6,0.3,0.11,0.02,0,0.035,-0.007,0,0,0.323,0.106,59,COG-20220530,COG,Congo,178,CG,COG,COG,17,Middle Africa,202,Sub-Saharan Africa,2,Africa,1,State,2021/05/28,2022/05/30,intl,1805274,830572,0.6848935788,5797800
Congo (Democratic Republic of the),,,,,,,,,,,,,,,,,,0.479,59.2,7,"1,076",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Congo River,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,281,XCR-20220530,XCR,,907,XG,XCR,XCR,17,Middle Africa,202,Sub-Saharan Africa,2,Africa,99,Sovereignty unsettled,2021/05/28,2022/05/30,intl,485,10852,0.042780277,17792
"Congo, Dem. Republic of the",,"IFS, Pardee",,,,,,,,,,,,,13.627,11.920,1.707,,,,,-63%,-219%,-0.75,-4.403,1.52,74.6,101540,403800,4.07,495.97,10.92,16.48,1.59,1.8,1.278,0.005,0.2,0.13,12.509,18.279,,,,,,,,,,,,,,,,,,,,,,,
Cook Islands,2020,WorldBank,100.0,0,100.0,0,0.0,0,,76.0,35.0,97.0,n/a,n/a,,,,,,,,,,,,,,,,,,,,,,,,,,,,60,COK-20220530,COK,Cook Islands (NZ),184,CK,COK,NZL,61,Polynesia,61,Polynesia,9,Oceania,5,Territory/Self-governing territory,2021/05/28,2022/05/30,intl,,,,17564
