,Country Name,Country Code,m49,continent-region,sub-region,sids-region,un-member,undp-sids,un-region,Region,Economy,LDC,SIDS,LLDC,HDI,Sahel,Crisis,Unnamed: 17,Project Count,Output Count,Budget Total,Direct Beneficiaries
195,Sao Tome & Principe,STP,678,Africa,Sub-Saharan Africa,AIS,yes,yes,African Group,RBA,Lower middle income,LDC,SIDS,,Medium,,,,3,6,16729838.0,259628.0
196,Saudi Arabia,SAU,682,Asia,Western Asia,,yes,,Asia-Pacific Group,RBAS,High income,,,,Very High,,,,1,1,7939225.0,0.0
197,Senegal,SEN,686,Africa,Sub-Saharan Africa,,yes,,African Group,RBA,Lower middle income,LDC,,,Low,Sahel,,,1,1,250000.0,0.0
198,Serbia,SRB,688,Europe,Southern Europe,,yes,,Eastern European Group,RBEC,Upper middle income,,,,Very High,,,,6,20,66044655.0,33500.0
199,Seychelles,SYC,690,Africa,Sub-Saharan Africa,AIS,yes,yes,African Group,,,,,,,,,,0,0,0.0,0.0
200,Sierra Leone,SLE,694,Africa,Sub-Saharan Africa,,yes,,African Group,RBA,Low income,LDC,,,Low,,,,2,6,6108608.0,0.0
201,Singapore,SGP,702,Asia,South-eastern Asia,AIS,yes,yes,Asia-Pacific Group,,,,,,,,,,0,0,0.0,0.0
202,Sint Maarten (Dutch part),SXM,534,Americas,Latin America and the Caribbean,Caribbean,,yes,GRULAC,,,,,,,,,,0,0,0.0,0.0
203,Slovakia,SVK,703,Europe,Eastern Europe,,yes,,Eastern European Group,,,,,,,,,,0,0,0.0,0.0
204,Slovenia,SVN,705,Europe,Southern Europe,,yes,,Eastern European Group,,,,,,,,,,0,0,0.0,0.0
205,Solomon Islands,SLB,90,Oceania,Melanesia,Pacific,yes,yes,Asia-Pacific Group,RBAP,Lower middle income,LDC,SIDS,,Medium,,,,1,6,15838356.0,57767.5
206,Somalia,SOM,706,Africa,Sub-Saharan Africa,,yes,,African Group,RBAS,Low income,LDC,,,,,Crisis,,1,1,3276147.0,66970.0
207,South Africa,ZAF,710,Africa,Sub-Saharan Africa,,yes,,African Group,RBA,Upper middle income,,,,High,,,,4,17,34490333.0,106005.52
208,South Georgia and the South Sandwich Islands,SGS,239,Americas,Latin America and the Caribbean,,,,GRULAC,,,,,,,,,,0,0,0.0,0.0
209,South Sudan,SSD,728,Africa,Sub-Saharan Africa,,yes,,African Group,RBA,Low income,LDC,,LLDC,Low,,Crisis,,7,8,7799699.61,2091385.0
210,Spain,ESP,724,Europe,Southern Europe,,yes,,WEOG,,,,,,,,,,0,0,0.0,0.0
211,Sri Lanka,LKA,144,Asia,Southern Asia,,yes,,Asia-Pacific Group,RBAP,Lower middle income,,,,High,,,,8,17,11010243.0,61280.0
212,Sudan,SDN,729,Africa,Northern Africa,,yes,,African Group,RBAS,Low income,LDC,,,Low,,Crisis,,5,5,14083867.0,144502.0
213,Suriname,SUR,740,Americas,Latin America and the Caribbean,Caribbean,yes,yes,GRULAC,RBLAC,Upper middle income,,SIDS,,High,,,,1,1,753663.0,19250.0
214,Svalbard and Jan Mayen,SJM,744,Europe,Northern Europe,,,,WEOG,,,,,,,,,,0,0,0.0,0.0
215,Sweden,SWE,752,Europe,Northern Europe,,yes,,WEOG,,,,,,,,,,0,0,0.0,0.0
216,Switzerland,CHE,756,Europe,Western Europe,,yes,,WEOG,,,,,,,,,,0,0,0.0,0.0
217,Syria,SYR,760,Asia,Western Asia,,yes,,Asia-Pacific Group,RBAS,Low income,,,,Medium,,Crisis,,1,1,39482563.0,3808844.0
218,Tajikistan,TJK,762,Asia,Central Asia,,yes,,Asia-Pacific Group,RBEC,Lower middle income,,,LLDC,Medium,,,,1,11,5409148.25,46992.0
219,United Republic of Tanzania,TZA,834,Africa,Sub-Saharan Africa,,yes,,African Group,RBA,Lower middle income,LDC,,,Low,,,,2,8,50364582.0,0.0
220,Thailand,THA,764,Asia,South-eastern Asia,,yes,,Asia-Pacific Group,RBAP,Upper middle income,,,,Very High,,,,2,3,2215086.0,0.0
221,Timor-Leste,TLS,626,Asia,South-eastern Asia,Pacific,yes,yes,Asia-Pacific Group,RBAP,Lower middle income,LDC,SIDS,,Medium,,,,3,7,26534611.0,773591.0
222,Togo,TGO,768,Africa,Sub-Saharan Africa,,yes,,African Group,RBA,Low income,LDC,,,Low,,,,3,7,14673456.0,10572.499999999998
223,Tokelau,TKL,772,Oceania,Polynesia,Pacific,,yes,Asia-Pacific Group,,,,SIDS,,,,,,0,0,0.0,0.0
224,Tonga,TON,776,Oceania,Polynesia,Pacific,yes,yes,Asia-Pacific Group,,,,SIDS,,,,,,0,0,0.0,0.0
225,Trinidad & Tobago,TTO,780,Americas,Latin America and the Caribbean,Caribbean,yes,yes,GRULAC,RBLAC,High income,,SIDS,,Very High,,,,3,17,60081704.0,2090.0
226,Tunisia,TUN,788,Africa,Northern Africa,,yes,,African Group,RBAS,Lower middle income,,,,High,,,,4,26,26562618.0,0.0
227,Turkey,TUR,792,Asia,Western Asia,,yes,,Asia-Pacific Group,RBEC,Upper middle income,,,,Very High,,,,7,7,16153623.0,3487.0
228,Turkmenistan,TKM,795,Asia,Central Asia,,yes,,Asia-Pacific Group,RBEC,Upper middle income,,,LLDC,High,,,,2,2,8126379.0,0.0
229,Turks and Caicos Islands,TCA,796,Americas,Latin America and the Caribbean,Caribbean,,yes,GRULAC,,,,,,,,,,0,0,0.0,0.0
230,Tuvalu,TUV,798,Oceania,Polynesia,Pacific,yes,yes,Asia-Pacific Group,RBAP,Upper middle income,LDC,SIDS,,Medium,,,,1,9,23757525.0,128480.5
231,Uganda,UGA,800,Africa,Sub-Saharan Africa,,yes,,African Group,RBA,Low income,LDC,,LLDC,Low,,,,3,9,16410090.0,2501999.0
232,Ukraine,UKR,804,Europe,Eastern Europe,,yes,,Eastern European Group,RBEC,Lower middle income,,,,High,,Crisis,,4,20,928733639.2480001,11132755.0
233,United Arab Emirates,ARE,784,Asia,Western Asia,,yes,,Asia-Pacific Group,,,,,,,,,,0,0,0.0,0.0
234,United Kingdom of Great Britain and Northern Ireland,GBR,826,Europe,Northern Europe,,yes,,WEOG,,,,,,,,,,0,0,0.0,0.0
235,United States of America,USA,840,Americas,Northern America,,yes,,WEOG,,,,,,,,,,0,0,0.0,0.0
236,United States Minor Outlying Islands,UMI,581,Oceania,Micronesia,,,,Asia-Pacific Group,,,,,,,,,,0,0,0.0,0.0
237,Uruguay,URY,858,Americas,Latin America and the Caribbean,,yes,,GRULAC,RBLAC,High income,,,,Very High,,,,2,11,14346848.0,1005130.0
238,Uzbekistan,UZB,860,Asia,Central Asia,,yes,,Asia-Pacific Group,RBEC,Lower middle income,,,LLDC,High,,,,2,3,15569725.0,13465.0
239,Vanuatu,VUT,548,Oceania,Melanesia,Pacific,yes,yes,Asia-Pacific Group,RBAP,Lower middle income,,SIDS,,Medium,,,,2,6,23768512.0,73486.0
240,Venezuela,VEN,862,Americas,Latin America and the Caribbean,,yes,,GRULAC,RBLAC,Low income,,,,Medium,,,,0,0,0.0,0.0
241,Viet Nam,VNM,704,Asia,South-eastern Asia,,yes,,Asia-Pacific Group,RBAP,Lower middle income,,,,High,,,,4,17,28670217.0,2175.0
242,British Virgin Islands,VGB,92,Americas,Latin America and the Caribbean,Caribbean,,yes,GRULAC,,,,,,,,,,0,0,0.0,0.0
243,US Virgin Islands,VIR,850,Americas,Latin America and the Caribbean,,,,GRULAC,,,,,,,,,,0,0,0.0,0.0
244,Wallis and Futuna,WLF,876,Oceania,Polynesia,,,,Asia-Pacific Group,,,,,,,,,,0,0,0.0,0.0
245,Western Sahara,ESH,732,Africa,Northern Africa,,,,African Group,,,,,,,,,,0,0,0.0,0.0
246,Yemen,YEM,887,Asia,Western Asia,,yes,,Asia-Pacific Group,RBAS,Lower middle income,LDC,,,Low,,Crisis,,3,17,209587935.0,569286.8
247,Zambia,ZMB,894,Africa,Sub-Saharan Africa,,yes,,African Group,RBA,Low income,LDC,,LLDC,Medium,,,,3,5,13217021.39,5015436.0
248,Zimbabwe,ZWE,716,Africa,Sub-Saharan Africa,,yes,,African Group,RBA,Lower middle income,,,LLDC,Medium,,,,3,6,65251782.0,869774.0
